date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:04	61233/61233	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jul%202021%2021:29:28%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/index.html	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/index.html	(from )
13:15:05	7364/7364	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Dec%202020%2023:44:36%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/css/normalize.css	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/css/normalize.css	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:15:06	153402/153402	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2000:09:28%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/css/bootstrap.min.css	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/css/bootstrap.min.css	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:15:06	71346/71346	---M-Z	200	added ('OK')	text/css	date:Sun,%2022%20Nov%202020%2022:57:20%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/css/font-awesome-5.10.2.min.css	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/css/font-awesome-5.10.2.min.css	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:15:07	2936/2936	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Jan%202021%2007:05:10%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/css/plugin/owl.carousel.min.css	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/css/plugin/owl.carousel.min.css	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:15:08	6951/6951	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Jan%202021%2007:05:10%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/css/plugin/magnific-popup.css	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/css/plugin/magnific-popup.css	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:15:08	4007/4007	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Mar%202021%2000:29:54%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/css/plugin/nice-select.css	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/css/plugin/nice-select.css	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:15:09	57095/57095	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2014:58:08%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/css/plugin/animate.css	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/css/plugin/animate.css	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:15:10	123019/123019	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Jul%202021%2021:41:14%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/css/style.css	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/css/style.css	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
13:15:11	12060/12060	---M-Z	200	added ('OK')	text/css	date:Mon,%2031%20May%202021%2021:07:38%20GMT	http://pixner.net/gooland/13-cryptocurrency-investment/assets/css/responsive.css	C:/Users/hp/Desktop/Mine/investmentx/pixner.net/gooland/13-cryptocurrency-investment/assets/css/responsive.css	(from http://pixner.net/gooland/13-cryptocurrency-investment/index.html)
